PriceHub;TradeDate;WtdAvgPrice;Change;DailyVolumeMWh;NumberTrades;NumberCounterparties
ABC;1/5/2001;125.5;;800;2;2
ABC;1/8/2001;135.5;10;400;1;2
ABC;1/12/2001;175;39.5;800;1;2
ABC;1/19/2001;325;150;400;1;2
ABC;1/26/2001;245;-80;400;1;2
ABC;2/12/2001;212.5;-32.5;800;2;3
ABC;2/28/2001;268;55.5;400;1;2
ABC;3/1/2001;242.5;-25.5;1600;2;3
ABC;3/29/2001;154;-88.5;1600;2;4
ABC;4/19/2001;150;-4;800;1;2
ABC;4/30/2001;302.5;152.5;800;2;3
ABC;5/3/2001;142.5;-160;1600;2;3
ABC;5/4/2001;255;112.5;1200;3;4
ABC;5/7/2001;297;42;2000;5;4
ABC;5/8/2001;467.67;170.67;1200;3;3
ABC;5/9/2001;537.5;69.83;1600;4;4
ABC;5/10/2001;385;-152.5;1600;2;3
ABC;5/11/2001;415;30;2800;7;5
ABC;5/14/2001;219.17;-195.83;2400;6;5
ABC;5/15/2001;220;0.83;800;2;2
ABC;5/16/2001;167.5;-52.5;800;2;3
ABC;5/17/2001;141;-26.5;3200;4;3
ABC;5/18/2001;327.5;186.5;3200;8;7
ABC;5/21/2001;399.44;71.94;3600;9;7
ABC;5/22/2001;389.5;-9.94;4800;6;6
ABC;5/23/2001;272.5;-117;3200;4;5
ABC;5/25/2001;170;-102.5;2000;5;6
ABC;5/29/2001;130;-40;1200;3;4
ABC;5/30/2001;160;30;3200;8;5
ABC;5/31/2001;171.63;11.63;6400;8;5
ABC;6/1/2001;189.29;17.66;2800;7;6
ABC;6/4/2001;130;-59.29;400;1;2
ABC;6/5/2001;97.33;-32.67;1200;3;3
ABC;6/6/2001;79.5;-17.83;800;2;4
ABC;6/7/2001;51.5;-28;1600;2;4
ABC;6/8/2001;75;23.5;400;1;2
ABC;6/11/2001;64.8;-10.2;2000;5;4
ABC;6/12/2001;63.04;-1.76;5200;13;7
ABC;6/13/2001;65.83;2.79;2400;6;4
ABC;6/14/2001;44.5;-21.33;1600;2;3
ABC;6/15/2001;69.5;25;2400;6;5
ABC;6/18/2001;130;60.5;400;1;2
ABC;6/20/2001;90;-40;400;1;2
ABC;6/21/2001;82.5;-7.5;1600;2;3
ABC;6/22/2001;83.33;0.83;1200;3;5
ABC;6/25/2001;55.36;-27.97;4400;11;6
ABC;6/26/2001;49.2;-6.16;2000;5;6
ABC;6/27/2001;55.8;6.6;2000;5;5
ABC;6/28/2001;52;-3.8;8000;10;4
ABC;6/29/2001;92;40;1200;3;3
ABC;7/2/2001;91.75;-0.25;800;2;3
ABC;7/5/2001;91.75;0;800;1;2
ABC;7/6/2001;85.67;-6.08;1200;3;2
ABC;7/9/2001;76.5;-9.17;1600;4;4
ABC;7/10/2001;71.5;-5;800;2;4
ABC;7/11/2001;58.5;-13;800;2;4
ABC;7/12/2001;49;-9.5;1600;2;2
ABC;7/13/2001;55.39;6.39;2800;7;6
ABC;7/16/2001;54.75;-0.64;2400;6;5
ABC;7/17/2001;46.28;-8.47;3200;8;6
ABC;7/18/2001;42.09;-4.2;5600;14;6
ABC;7/19/2001;39.6;-2.49;4000;5;7
ABC;7/20/2001;58;18.4;400;1;2
ABC;7/23/2001;72.33;14.33;1200;3;3
ABC;7/24/2001;63.28;-9.05;3200;7;6
ABC;7/25/2001;65.2;1.92;2000;5;4
ABC;7/26/2001;64.88;-0.33;6400;8;6
ABC;7/27/2001;65.68;0.81;4400;11;7
ABC;7/30/2001;55.33;-10.35;2400;6;6
ABC;7/31/2001;51.25;-4.08;4800;12;6
ABC;8/1/2001;57.45;6.2;2000;5;6
ABC;8/2/2001;51.1;-6.35;4000;5;6
ABC;8/3/2001;76;24.9;5200;13;11
ABC;8/6/2001;71.46;-4.54;5200;13;7
ABC;8/7/2001;73;1.54;6000;15;9
ABC;8/8/2001;72.38;-0.62;7600;19;12
ABC;8/9/2001;58.94;-13.44;7200;9;9
ABC;8/10/2001;59.48;0.54;5600;14;11
ABC;8/13/2001;51.61;-7.88;7600;19;12
ABC;8/14/2001;50.16;-1.44;5600;14;10
ABC;8/15/2001;48.81;-1.35;6400;16;10
ABC;8/16/2001;49.33;0.52;7200;9;8
ABC;8/17/2001;52.5;3.17;4000;10;8
ABC;8/20/2001;46.2;-6.3;5600;14;8
ABC;8/21/2001;42.31;-3.89;6000;15;9
ABC;8/22/2001;40.78;-1.53;3600;9;8
ABC;8/23/2001;39.28;-1.5;16000;19;8
ABC;8/24/2001;49.04;9.77;6400;16;10
ABC;8/27/2001;57.12;8.08;10000;25;9
ABC;8/28/2001;46.37;-10.75;6800;17;9
ABC;8/29/2001;35.97;-10.4;14400;18;6
ABC;8/30/2001;28.56;-7.41;3600;9;7
ABC;8/31/2001;33.07;4.51;4400;11;8
ABC;9/4/2001;34.13;1.06;8400;21;11
ABC;9/5/2001;33.51;-0.62;6800;17;9
ABC;9/6/2001;31.51;-1.99;7200;9;8
ABC;9/7/2001;33.17;1.65;5200;13;10
ABC;9/10/2001;32.91;-0.26;6000;15;9
ABC;9/11/2001;32.85;-0.06;7200;18;10
ABC;9/12/2001;31.92;-0.93;7200;18;11
ABC;9/13/2001;31.1;-0.82;9600;12;9
ABC;9/14/2001;33.01;1.91;2000;5;4
ABC;9/17/2001;31.33;-1.69;4800;12;10
ABC;9/18/2001;29.24;-2.09;4400;11;9
ABC;9/19/2001;27.1;-2.13;4800;9;8
ABC;9/20/2001;22.9;-4.2;4800;6;6
ABC;9/21/2001;25.1;2.2;10800;26;14
ABC;9/24/2001;25.14;0.04;3200;8;9
ABC;9/25/2001;26.16;1.03;4400;11;11
ABC;9/26/2001;26.89;0.72;9600;12;9
ABC;9/27/2001;25;-1.89;3600;9;6
ABC;9/28/2001;28.53;3.53;4400;11;10
ABC;10/1/2001;29.35;0.82;8400;21;10
ABC;10/2/2001;25.16;-4.19;3200;8;8
ABC;10/3/2001;25.5;0.34;4800;12;6
ABC;10/4/2001;23.78;-1.72;7200;9;8
ABC;10/5/2001;23.81;0.03;5600;14;10
ABC;10/8/2001;22.87;-0.94;5600;14;10
ABC;10/9/2001;22.54;-0.33;7600;19;10
ABC;10/10/2001;23.54;1;6400;16;13
ABC;10/11/2001;25.82;2.28;14400;18;15
ABC;10/12/2001;27.46;1.63;7600;19;11
ABC;10/15/2001;27.79;0.34;4800;12;10
ABC;10/16/2001;25.74;-2.05;3600;9;10
ABC;10/17/2001;29.84;4.1;4400;10;10
ABC;10/18/2001;26.19;-3.65;6400;8;8
ABC;10/19/2001;27.37;1.18;6800;17;10
ABC;10/22/2001;27.09;-0.29;13200;9;9
ABC;10/25/2001;33.14;6.06;15200;19;11
ABC;10/26/2001;34.07;0.92;10000;25;14
ABC;10/29/2001;38.79;4.72;5600;14;12
ABC;10/30/2001;38.24;-0.56;11600;26;14
ABC;10/31/2001;35.25;-2.99;2000;5;6
ABC;11/1/2001;30.61;-4.64;8800;11;10
ABC;11/2/2001;33.33;2.72;4000;10;11
ABC;11/5/2001;31.56;-1.78;4000;10;11
ABC;11/6/2001;32;0.45;4800;12;12
ABC;11/7/2001;31.85;-0.15;7200;9;9
ABC;11/8/2001;26.63;-5.23;1600;4;6
ABC;11/9/2001;29.12;2.49;12800;16;15
ABC;11/13/2001;22.46;-6.66;9600;24;16
ABC;11/14/2001;19.36;-3.1;5200;13;11
ABC;11/15/2001;16.73;-2.63;10400;13;13
ABC;11/16/2001;17.51;0.78;8000;20;10
ABC;11/19/2001;15.66;-1.85;8000;8;7
ABC;11/20/2001;19.99;4.33;16800;20;12
ABC;11/21/2001;21;1;6000;15;14
ABC;11/26/2001;22.45;1.46;6800;17;11
ABC;11/27/2001;28.8;6.35;5600;14;13
ABC;11/28/2001;31.73;2.92;8000;10;11
ABC;11/29/2001;29.69;-2.03;6800;17;15
ABC;11/30/2001;29.88;0.19;10800;27;19
ABC;12/3/2001;27.5;-2.38;1200;3;4
ABC;12/4/2001;27.21;-0.29;4400;11;13
ABC;12/5/2001;27.68;0.47;6000;15;12
ABC;12/6/2001;27.57;-0.11;13600;17;13
ABC;12/7/2001;28.63;1.05;4000;10;10
ABC;12/10/2001;28.32;-0.3;2800;7;8
ABC;12/11/2001;34.82;6.5;5600;14;12
ABC;12/12/2001;35.9;1.08;6000;15;15
ABC;12/13/2001;34.27;-1.63;16800;20;17
ABC;12/14/2001;30.85;-3.41;9600;24;13
ABC;12/17/2001;31.13;0.28;5600;14;12
ABC;12/18/2001;29.84;-1.29;6800;17;15
ABC;12/19/2001;27.37;-2.47;15600;13;12
ABC;12/20/2001;23.42;-3.95;4400;11;6
ABC;12/21/2001;23.01;-0.41;6400;16;13
ABC;12/26/2001;26.64;3.63;8400;6;9
ABC;12/27/2001;25.41;-1.24;3200;8;7
ABC;12/28/2001;26.85;1.45;6000;13;10
ABC;1/2/2002;25.71;-1.15;6800;16;15
ABC;1/3/2002;23.63;-2.08;14400;17;14
ABC;1/4/2002;23.36;-0.27;8800;22;16
ABC;1/7/2002;20.77;-2.59;10000;25;15
ABC;1/8/2002;21.32;0.55;9600;23;14
ABC;1/9/2002;20.42;-0.9;7200;16;14
ABC;1/10/2002;19;-1.42;16800;17;14
ABC;1/11/2002;20.88;1.88;10800;27;16
ABC;1/14/2002;23.13;2.25;11200;24;15
ABC;1/15/2002;25.78;2.66;13600;28;19
ABC;1/16/2002;29.02;3.23;26400;30;16
ABC;1/17/2002;24.39;-4.63;11200;28;19
ABC;1/18/2002;23.82;-0.57;15200;19;16
ABC;1/22/2002;22.58;-1.23;6000;15;13
ABC;1/23/2002;22.15;-0.43;4000;10;12
ABC;1/24/2002;20.85;-1.3;15200;19;17
ABC;1/25/2002;24.69;3.84;8400;21;12
ABC;1/28/2002;24.39;-0.3;5600;14;14
ABC;1/29/2002;23.94;-0.44;6000;15;15
ABC;1/30/2002;24.96;1.02;8400;20;18
ABC;1/31/2002;24.92;-0.04;16800;17;13
ABC;2/1/2002;24.74;-0.18;8000;19;16
ABC;2/4/2002;23.75;-0.98;7600;19;16
ABC;2/5/2002;23.06;-0.69;8000;20;16
ABC;2/6/2002;23;-0.06;4800;12;14
ABC;2/7/2002;22.24;-0.76;14400;18;19
ABC;2/8/2002;23.06;0.82;8400;21;15
ABC;2/11/2002;21.83;-1.23;5200;13;10
ABC;2/12/2002;23.76;1.93;5200;13;13
ABC;2/13/2002;23.35;-0.41;9600;12;12
ABC;2/14/2002;22.58;-0.77;7200;18;13
ABC;2/15/2002;23.99;1.41;19200;24;14
ABC;2/19/2002;24.2;0.21;6800;17;14
ABC;2/20/2002;24.85;0.65;8400;15;13
ABC;2/21/2002;23.49;-1.36;15200;18;17
ABC;2/22/2002;23.69;0.21;10000;19;16
ABC;2/25/2002;23.51;-0.19;6800;15;16
ABC;2/26/2002;24.01;0.51;8800;21;18
ABC;2/27/2002;24.88;0.87;8400;20;14
ABC;2/28/2002;25;0.12;18400;23;15
ABC;3/1/2002;25.4;0.4;8400;19;15
ABC;3/4/2002;34.25;8.85;7600;16;15
ABC;3/5/2002;34.09;-0.16;5200;13;14
ABC;3/6/2002;29.9;-4.19;6000;14;10
ABC;3/7/2002;30.95;1.05;24800;27;15
ABC;3/8/2002;32.38;1.43;6000;14;12
ABC;3/11/2002;31.14;-1.24;6800;16;16
ABC;3/12/2002;31.75;0.61;5600;14;13
ABC;3/13/2002;32.72;0.97;6000;14;15
ABC;3/14/2002;32.4;-0.32;23200;25;17
ABC;3/15/2002;41.65;9.25;8000;20;13
ABC;3/18/2002;43.03;1.38;6800;16;13
ABC;3/19/2002;42.13;-0.9;6400;16;15
ABC;3/20/2002;35.25;-6.88;5600;14;11
ABC;3/21/2002;37.76;2.51;16000;20;13
ABC;3/22/2002;44.2;6.44;5600;14;15
ABC;3/25/2002;38.65;-5.54;5200;13;14
ABC;3/26/2002;39.01;0.36;6800;17;14
ABC;3/27/2002;36.75;-2.26;18400;23;18
ABC;3/28/2002;34;-2.75;4000;10;12
ABC;3/29/2002;32.88;-1.13;12000;27;19
ABC;4/1/2002;31.95;-0.93;20800;34;18
ABC;4/2/2002;36.06;4.12;23600;38;22
ABC;4/3/2002;38.43;2.36;12400;24;17
ABC;4/4/2002;36.32;-2.11;45600;41;20
ABC;4/5/2002;34.86;-1.45;33200;58;23
ABC;4/8/2002;32.74;-2.12;10000;24;16
ABC;4/9/2002;29.95;-2.79;16400;31;20
ABC;4/10/2002;28.39;-1.56;16800;33;18
ABC;4/11/2002;26.39;-2;34400;35;19
ABC;4/12/2002;28.14;1.75;19200;36;19
ABC;4/15/2002;31.67;3.53;49200;35;21
ABC;4/16/2002;29.25;-2.42;1600;2;4
ABC;4/17/2002;28.25;-1;2400;3;4
ABC;4/18/2002;26.3;-1.95;22400;26;18
ABC;4/19/2002;26.04;-0.26;13600;31;19
ABC;4/22/2002;30.07;4.03;14800;34;21
ABC;4/23/2002;33.5;3.43;16000;35;22
ABC;4/24/2002;32;-1.5;11200;26;16
ABC;4/25/2002;27.15;-4.85;16800;19;19
ABC;4/26/2002;26.58;-0.57;17200;36;21
ABC;4/29/2002;27.99;1.41;16000;34;20
ABC;4/30/2002;30.44;2.45;11200;28;17
ABC;5/1/2002;30.19;-0.26;12400;31;20
ABC;5/2/2002;25.18;-5.01;28000;34;26
ABC;5/3/2002;29.58;4.4;16400;38;21
ABC;5/6/2002;28.79;-0.79;11600;27;19
ABC;5/7/2002;27.35;-1.45;9600;22;22
ABC;5/8/2002;30.53;3.18;9200;19;18
ABC;5/9/2002;27.47;-3.06;22400;24;22
ABC;5/10/2002;30.59;3.11;11600;25;20
ABC;5/13/2002;32.12;1.53;12000;28;17
ABC;5/14/2002;35.56;3.44;10400;23;15
ABC;5/15/2002;31.08;-4.47;10400;22;20
ABC;5/16/2002;27.41;-3.67;22400;27;19
ABC;5/17/2002;29.35;1.94;12000;26;20
ABC;5/20/2002;26.13;-3.23;16000;38;25
ABC;5/21/2002;24.31;-1.82;34400;41;25
ABC;5/22/2002;20.49;-3.82;14400;15;14
ABC;5/24/2002;26.4;5.92;13200;31;23
ABC;5/28/2002;28.6;2.19;18000;41;25
ABC;5/29/2002;34.17;5.57;36800;40;26
ABC;5/30/2002;30.86;-3.32;18800;44;22
ABC;5/31/2002;35.21;4.35;18400;38;23
ABC;6/3/2002;32.77;-2.44;13600;31;21
ABC;6/4/2002;31.57;-1.2;18400;42;24
ABC;6/5/2002;36.77;5.2;20800;48;27
ABC;6/6/2002;32.85;-3.92;44800;52;22
ABC;6/7/2002;31.3;-1.56;22800;51;21
ABC;6/10/2002;28.23;-3.07;29600;68;26
ABC;6/11/2002;31.63;3.4;23600;59;27
ABC;6/12/2002;35.47;3.84;18000;42;26
ABC;6/13/2002;30.34;-5.13;35200;36;22
ABC;6/14/2002;34.06;3.72;17600;42;27
ABC;6/17/2002;38.47;4.41;17600;44;22
ABC;6/18/2002;35.68;-2.8;23600;58;26
ABC;6/19/2002;34.41;-1.27;14800;35;22
ABC;6/20/2002;34.71;0.3;28000;32;19
ABC;6/21/2002;41.01;6.3;18000;45;23
ABC;6/24/2002;42.26;1.25;21200;53;21
ABC;6/25/2002;46.7;4.44;15600;34;23
ABC;6/26/2002;41.78;-4.92;32000;36;20
ABC;6/27/2002;34.63;-7.15;15600;37;22
ABC;6/28/2002;46.09;11.46;19200;48;26
ABC;7/1/2002;40.15;-5.94;20000;47;23
ABC;7/2/2002;37.88;-2.26;18400;45;23
ABC;7/3/2002;33.74;-4.15;34400;43;22
ABC;7/5/2002;50.84;17.11;22000;55;24
ABC;7/8/2002;63.58;12.73;23200;58;27
ABC;7/9/2002;69.89;6.32;20800;51;23
ABC;7/10/2002;57.35;-12.55;12800;31;22
ABC;7/11/2002;56.7;-0.65;16800;20;16
ABC;7/12/2002;46.35;-10.35;20000;48;24
ABC;7/15/2002;35.76;-10.6;19600;49;24
ABC;7/16/2002;36.32;0.56;19600;49;22
ABC;7/17/2002;38.62;2.3;17200;43;19
ABC;7/18/2002;35.03;-3.59;36800;45;22
ABC;7/19/2002;44.48;9.45;20400;51;24
ABC;7/22/2002;38.49;-5.99;19600;47;24
ABC;7/23/2002;33.84;-4.66;20400;51;25
ABC;7/24/2002;31.44;-2.4;22400;54;24
ABC;7/25/2002;31.61;0.16;40000;45;25
ABC;7/26/2002;34.64;3.03;19200;46;21
ABC;7/29/2002;34.9;0.26;21600;53;21
ABC;7/30/2002;35.61;0.71;18000;42;26
ABC;7/31/2002;37.73;2.12;18800;47;21
ABC;8/1/2002;32.91;-4.82;36800;45;24
ABC;8/2/2002;34.36;1.45;20800;52;24
ABC;8/5/2002;30.69;-3.67;22400;54;24
ABC;8/6/2002;29.25;-1.45;14000;35;20
ABC;8/7/2002;29.32;0.07;13600;34;23
ABC;8/8/2002;28.06;-1.26;35200;44;18
ABC;8/9/2002;35.66;7.6;16400;38;21
ABC;8/12/2002;37.26;1.6;24000;58;24
ABC;8/13/2002;36.54;-0.72;27600;66;23
ABC;8/14/2002;36.4;-0.14;16800;38;19
ABC;8/15/2002;32.87;-3.54;34400;43;20
ABC;8/16/2002;33.88;1.01;20800;51;21
ABC;8/19/2002;30;-3.88;20800;52;22
ABC;8/20/2002;29.61;-0.39;19600;43;19
ABC;8/21/2002;28.14;-1.47;13200;33;20
ABC;8/22/2002;28.67;0.53;44800;47;22
ABC;8/23/2002;37.14;8.47;17200;41;21
ABC;8/26/2002;34.63;-2.51;27600;61;22
ABC;8/27/2002;30.91;-3.72;31200;36;20
ABC;8/28/2002;29.83;-1.09;24000;28;22
ABC;8/30/2002;31.6;1.78;13200;31;20
ABC;9/3/2002;33.73;2.12;8400;21;20
ABC;9/4/2002;33.9;0.17;15200;37;21
ABC;9/5/2002;31.53;-2.37;28000;34;21
ABC;9/6/2002;35.25;3.72;13200;31;23
ABC;9/9/2002;33.22;-2.03;18000;44;26
ABC;9/10/2002;32.83;-0.39;18400;45;24
ABC;9/11/2002;33.05;0.22;12000;30;20
ABC;9/12/2002;31.43;-1.62;18400;23;20
ABC;9/13/2002;33.81;2.38;9600;24;19
ABC;9/16/2002;32.91;-0.91;13600;34;24
ABC;9/17/2002;32.48;-0.42;18800;47;22
ABC;9/18/2002;34.86;2.38;16400;40;21
ABC;9/19/2002;31.48;-3.38;23200;29;24
ABC;9/20/2002;33.57;2.08;14400;35;21
ABC;9/23/2002;36.31;2.74;9600;24;19
ABC;9/24/2002;35.39;-0.91;12000;30;22
ABC;9/25/2002;33.43;-1.96;20000;48;26
ABC;9/26/2002;31.36;-2.08;32000;40;21
ABC;9/27/2002;30.65;-0.71;12400;29;20
ABC;9/30/2002;30.12;-0.52;14000;35;25
ABC;10/1/2002;29.28;-0.84;15600;39;23
ABC;10/2/2002;29.67;0.38;13600;31;24
ABC;10/3/2002;29.21;-0.46;28800;35;18
ABC;10/4/2002;30.66;1.45;14400;36;24
ABC;10/7/2002;33.02;2.36;12800;32;22
ABC;10/8/2002;33.78;0.76;17600;42;20
ABC;10/9/2002;34.44;0.66;9600;24;23
ABC;10/10/2002;32.46;-1.98;33600;42;22
ABC;10/11/2002;31.5;-0.96;20400;51;24
ABC;10/14/2002;33.79;2.29;11200;28;16
ABC;10/15/2002;34.86;1.07;16800;41;22
ABC;10/16/2002;33.66;-1.2;13200;33;19
ABC;10/17/2002;31.38;-2.28;26400;31;15
ABC;10/18/2002;33.61;2.23;12800;32;20
ABC;10/21/2002;36.4;2.79;31200;26;19
ABC;10/24/2002;35.65;-0.75;23200;27;22
ABC;10/25/2002;39.66;4.01;11600;29;20
ABC;10/28/2002;39.77;0.11;12400;29;19
ABC;10/29/2002;41.84;2.07;13600;33;19
ABC;10/30/2002;44.59;2.75;12800;32;19
ABC;10/31/2002;42.2;-2.38;24800;31;24
ABC;11/1/2002;40.73;-1.47;9600;24;19
ABC;11/4/2002;37.37;-3.36;9200;23;21
ABC;11/5/2002;33.55;-3.82;8800;22;20
ABC;11/6/2002;35.06;1.51;16000;20;17
ABC;11/7/2002;32.25;-2.81;8800;22;19
ABC;11/8/2002;34.02;1.77;11200;14;16
ABC;11/12/2002;34.54;0.52;6400;16;13
ABC;11/13/2002;34.64;0.11;6800;17;13
ABC;11/14/2002;28.64;-6;11200;14;13
ABC;11/15/2002;30.61;1.97;3600;9;11
ABC;11/18/2002;32.33;1.71;8000;20;14
ABC;11/19/2002;33.13;0.81;7200;18;16
ABC;11/20/2002;33.36;0.23;8000;20;18
ABC;11/21/2002;29.07;-4.29;14400;18;20
ABC;11/22/2002;33.52;4.45;4400;11;12
ABC;11/25/2002;34.78;1.26;9600;12;12
ABC;11/26/2002;31.45;-3.33;4000;5;6
ABC;11/27/2002;35.15;3.7;6000;15;12
ABC;12/2/2002;37.14;1.99;10000;25;20
ABC;12/3/2002;39.51;2.37;9200;23;19
ABC;12/4/2002;39.55;0.04;10400;26;19
ABC;12/5/2002;38.02;-1.53;24000;30;15
ABC;12/6/2002;38.83;0.81;13200;32;18
ABC;12/9/2002;37.09;-1.74;11600;29;20
ABC;12/10/2002;37.69;0.6;11600;29;22
ABC;12/11/2002;41.27;3.58;11600;29;18
ABC;12/12/2002;40.37;-0.9;22400;28;16
ABC;12/13/2002;45.43;5.06;12000;29;16
ABC;12/16/2002;48.72;3.3;11600;29;16
ABC;12/17/2002;48.73;0.01;9600;23;17
ABC;12/18/2002;43.95;-4.78;8400;21;15
ABC;12/19/2002;40.89;-3.07;20800;26;19
ABC;12/20/2002;44.61;3.73;7600;19;14
ABC;12/23/2002;43.09;-1.52;6400;16;17
ABC;12/24/2002;41.09;-2;5600;13;11
ABC;12/26/2002;42.06;0.98;11200;14;15
ABC;12/27/2002;44.4;2.34;5600;14;15
